provinsi,kabupaten,nik,nama,ttl,gender,goldar,alamat,rtrw,kelurahan,kecamatan,agama,perkawinan,pekerjaan,kewarganegaraan,berlaku,sign_place,sign_date
PROVINSI KEPULAUAN BANGKA BELITUNG,KABUPATEN BELITUNG,1902050407887573,GAHET LOENGARA ASCOBAT,"BADAU, 04-07-1988",LAKI-LAKI,A,JL H SAMALI 39,005/010,CERUCUK,BADAU,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BELITUNG,05-05-2019
PROVINSI ACEH,KABUPATEN PIDIE,1107141608583208,GUNARDI FRANS FONG,"PIDIE, 16-08-1958",PEREMPUAN,B,JL GN SAHARI RAYA 65,020/007,KUMBANG GOGO,PADANG TIJI,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,PIDIE,20-02-2014
PROVINSI SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,1609191802778280,ELIEZER NUGROHO TJANDRAKUSUMA,"BUAY RAWAN, 18-02-1977",PEREMPUAN,O,JL TEBET DLM II H/5,014/013,MAJAR,BUAY RAWAN,ISLAM,CERAI HIDUP,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,OGAN KOMERING ULU SELATAN,13-06-2011
PROVINSI P A P U A,KABUPATEN LANNY JAYA,9123342707753863,TIARA DHARANI JOSODIRDJO,"GUNA, 27-07-1975",LAKI-LAKI,O,JLN. RAYA PONDOK GEDE NO. 37,003/005,GUNA,GUNA,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,LANNY JAYA,08-11-2014
PROVINSI JAWA TENGAH,KABUPATEN TEGAL,3328111210784870,FLORENCE JAMES,"ADIWERNA, 12-10-1978",PEREMPUAN,A,JL JEND GATOT SUBROTO KAV 32-34 PATRA OFFICE TOWER 1-I LT 1,015/011,TEMBOK KIDUL,ADIWERNA,ISLAM,CERAI HIDUP,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,TEGAL,14-05-2017
PROVINSI JAWA BARAT,KABUPATEN SUKABUMI,3202451104937323,PRAKASH MOHANLAL PANJABI,"SUKABUMI, 11-04-1993",PEREMPUAN,B,JL KRAMAT KWITANG I A-14,010/010,TEGALBULEUD,TEGALBULEUD,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,SUKABUMI,29-06-2016
PROVINSI JAWA BARAT,KABUPATEN KARAWANG,3215212412711919,HANDRIE WIRAWAN,"MAJALAYA, 24-12-1971",PEREMPUAN,A,JL BUARAN III,004/028,PASIRJENGKOL,MAJALAYA,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KARAWANG,28-12-2020
PROVINSI JAMBI,KABUPATEN BUNGO,1508171504858599,HENDARTA ATMADJA,"TANAH SEPENGGAL LINTAS, 15-04-1985",LAKI-LAKI,AB,JL. AGUNG PERKASA IX BLOK K-1 NO.26,026/018,TANAH PERIUK,TANAH SEPENGGAL LINTAS,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BUNGO,02-03-2010
PROVINSI LAMPUNG,KABUPATEN TANGGAMUS,1806182804838640,JOHNSON WILLIANG SUTJIPTO,"TANGGAMUS, 28-04-1983",PEREMPUAN,A,JL MANGGA DUA RAYA HOTEL DUSIT MANGGA DUA ARCADE/1,007/024,KALIMIRING,KOTA AGUNG BARAT,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,TANGGAMUS,16-10-2020
PROVINSI KEPULAUAN RIAU,KABUPATEN KEPULAUAN ANAMBAS,2105080904571738,SAID AGIL ASSAGAFF,"KEPULAUAN ANAMBAS, 09-04-1957",PEREMPUAN,O,JL TARUNG SATU NO 2,008/006,PIASAN,SIANTAN UTARA,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,KEPULAUAN ANAMBAS,02-12-2018
PROVINSI SUMATERA UTARA,KABUPATEN KARO,1206070305722003,LINA OVANI,"JUHAR, 03-05-1972",PEREMPUAN,A,JL KEHAKIMAN III NO 3,006/014,SIGENDERANG,JUHAR,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KARO,17-11-2015
PROVINSI RIAU,KABUPATEN INDRAGIRI HULU,1402071703748381,ELIZABETH JANUARTI W,"BATANG CENAKU, 17-03-1974",PEREMPUAN,O,JL. CIPINANG KEBEMBEM RAWA MANGUN,017/007,KUALA KILAN,BATANG CENAKU,ISLAM,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,INDRAGIRI HULU,16-06-2019
PROVINSI SULAWESI TENGAH,KOTA PALU,7271082811833322,ADIMITRA BARATAMA NUSANTARA,"MANTIKULORE, 28-11-1983",PEREMPUAN,B,JL SRENGSENG RAYA 41-B,028/027,LASOANI,MANTIKULORE,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KOTA PALU,26-12-2015
PROVINSI ACEH,KABUPATEN ACEH UTARA,1108032210996396,ANGIE CHRISTINA,"ACEH UTARA, 22-10-1999",PEREMPUAN,-,JL. PENJERNIHAN II NO.10 BENDUNGAN HILIR TANAH ABANG,019/021,MEUNASAH KULAM,KUTA MAKMUR,ISLAM,CERAI MATI,SOPIR,WNI,SEUMUR HIDUP,ACEH UTARA,27-04-2013
PROVINSI SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277061811852309,YANUAR TENACIOUS,"PADANGSIDIMPUAN, 18-11-1985",LAKI-LAKI,B,JL ARTERI PD INDAH 60,004/029,SIMASOM,PADANGSIDIMPUAN ANGKOLA JULU,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,KOTA PADANGSIDIMPUAN,26-07-2017
PROVINSI KALIMANTAN UTARA,KABUPATEN NUNUKAN,6503051406742863,ANTHONY DOMINIC BYRON,"NUNUKAN, 14-06-1974",PEREMPUAN,O,"JL. PALAPA RAYA NO. 2, PASAR MINGGU",026/020,CINGLAT,KRAYAN,ISLAM,CERAI HIDUP,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,NUNUKAN,16-04-2017
PROVINSI LAMPUNG,KABUPATEN MESUJI,1811032211734597,STEWART JAMES ROBINSON,"MESUJI, 22-11-1973",PEREMPUAN,O,JL BEKASI RAYA KM 25 GED SRIKANDI,011/005,SIDANG GUNUNG TIGA,RAWA JITU UTARA,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,MESUJI,22-02-2017
PROVINSI SUMATERA UTARA,KABUPATEN PADANG LAWAS UTARA,1220041511855310,KIMIN TANOTO,"PADANG BOLAK, 15-11-1985",PEREMPUAN,B,JL PAMULANG BRT 24-O,005/006,AMBASANG NATIGOR,PADANG BOLAK,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PADANG LAWAS UTARA,19-02-2010
PROVINSI SULAWESI SELATAN,KABUPATEN LUWU,7317073010025278,TJAHJADI HARI SURJONO,"BELOPA, 30-10-2002",PEREMPUAN,A,JL. RAYA PASAR MINGGU NOMER 18,020/030,BALUBU,BELOPA,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,LUWU,23-06-2012
PROVINSI SUMATERA UTARA,KABUPATEN PADANG LAWAS UTARA,1220061602776627,PETRUS BUDIMAN GHO,"PADANG LAWAS UTARA, 16-02-1977",LAKI-LAKI,O,JL KWITANG RAYA 34,005/023,AEK HARUAYA,PORTIBI,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,PADANG LAWAS UTARA,02-01-2020
PROVINSI JAWA TENGAH,KABUPATEN PEKALONGAN,3326041610037348,ANGUS MACLACHLAN,"PEKALONGAN, 16-10-2003",PEREMPUAN,O,JL SUKAMULYA RAYA 18,014/024,CURUGMUNCAR,PETUNGKRIYONO,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,PEKALONGAN,20-10-2015
PROVINSI SULAWESI SELATAN,KABUPATEN LUWU UTARA,7322060108608105,FRANKY WIDJOYO,"LUWU UTARA, 01-08-1960",PEREMPUAN,B,JL PAMULANG BRT 24-O,024/006,KATULUNGAN,SUKAMAJU,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,LUWU UTARA,09-07-2011
PROVINSI ACEH,KABUPATEN ACEH UTARA,1108080105778366,BADURAMAN DORPI PARLINDUNGAN,"ACEH UTARA, 01-05-1977",LAKI-LAKI,B,JL PUPAN 4-A,019/001,LAGA BARO,SAMUDERA,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,ACEH UTARA,03-03-2014
PROVINSI SUMATERA UTARA,KABUPATEN LANGKAT,1205032602848884,JO SOUW KOAN,"KUALA, 26-02-1984",LAKI-LAKI,B,JL PENJERNIHAN RUSUN BENDUNGAN HILIR II BL A/19,003/024,BERUAM,KUALA,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,LANGKAT,24-12-2014
PROVINSI JAWA TIMUR,KABUPATEN GRESIK,3525171911743751,LEONART PUTRA,"GRESIK, 19-11-1974",PEREMPUAN,O,PERUM PANORAMA BLOK B2,020/017,DEKATAGUNG,SANGKAPURA,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,GRESIK,23-05-2017
PROVINSI KALIMANTAN TIMUR,KABUPATEN KUTAI BARAT,6407112104933969,DONNY YOESGIANTORO,"JEMPANG, 21-04-1993",LAKI-LAKI,B,JL CIPINANG CEMPEDAK I 45,001/003,MUARA TAE,JEMPANG,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KUTAI BARAT,23-10-2014
PROVINSI SUMATERA BARAT,KABUPATEN SOLOK,1302041801602303,JUWITA LIANTY SUANDI,"LEMBAH GUMANTI, 18-01-1960",PEREMPUAN,B,JL KELAPA DUA 16,015/019,SALIMPAT,LEMBAH GUMANTI,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,SOLOK,14-10-2011
PROVINSI MALUKU,KABUPATEN MALUKU TENGAH,8101152811872960,NIKO LISTYA PRABOWO SE,"MALUKU TENGAH, 28-11-1987",LAKI-LAKI,B,JL CIMANDIRI,016/013,NEGERI LIMA,LEIHITU,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,MALUKU TENGAH,29-09-2020
PROVINSI JAWA BARAT,KABUPATEN GARUT,3205050405756075,EDDY ISKANDAR,"TAROGONG KIDUL, 04-05-1975",LAKI-LAKI,B,JL TJ DUREN BRT V 2 RT 006/01,013/029,SUKABAKTI,TAROGONG KIDUL,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,GARUT,04-09-2017
PROVINSI SULAWESI TENGGARA,KABUPATEN KOLAKA,7401122408708493,SOETJAHJONO WINARKO,"BAULA, 24-08-1970",PEREMPUAN,O,JL MAMPANG PRAPATAN RAYA 60,007/005,LONGORI,BAULA,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KOLAKA,08-05-2018
PROVINSI JAWA TIMUR,KABUPATEN SIDOARJO,3515181111985511,FREDDYANTO TIRTADJAJA,"WARU, 11-11-1998",LAKI-LAKI,A,JL SUKAMULYA RAYA 18,012/020,JANTI,WARU,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SIDOARJO,19-07-2010
PROVINSI KALIMANTAN TENGAH,KOTA PALANGKARAYA,6271051710999120,LIEM HENRY,"PALANGKARAYA, 17-10-1999",PEREMPUAN,B,JL PALEM VI 70,027/009,MUNGKU BARU,RAKUMPIT,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KOTA PALANGKARAYA,02-05-2017
PROVINSI ACEH,KABUPATEN ACEH TIMUR,1103232001883196,SIMAN DARMAMULIA,"ACEH TIMUR, 20-01-1988",PEREMPUAN,O,JL SWADAYA 18,030/015,TUALANG DALAM,IDI TIMUR,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,ACEH TIMUR,01-03-2011
PROVINSI JAWA TENGAH,KABUPATEN CILACAP,3301080409000285,GUNAWAN ENDI,"CILACAP, 04-09-2000",PEREMPUAN,A,TEBET TIMUR DALAM XI NO 38,016/010,TRITIH LOR,JERUKLEGI,HINDU,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,CILACAP,07-02-2019
PROVINSI PAPUA BARAT,KABUPATEN SORONG,9201171009949304,IGNATIUS TONI GUNAWAN,"KLABOT, 10-09-1994",LAKI-LAKI,AB,JL LANTANA IV KOMPL HARAPAN BARU REGENCY BL D-7/5,003/015,MLAWES,KLABOT,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SORONG,20-10-2013
PROVINSI BALI,KABUPATEN KLUNGKUNG,5105042106931306,ABDUL HADI ISMAIL,"DAWAN, 21-06-1993",PEREMPUAN,-,JL BELIBIS NO 7,006/017,SULANG,DAWAN,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KLUNGKUNG,16-09-2018
PROVINSI MALUKU,KABUPATEN MALUKU TENGGARA,8102150306953602,THERESIA YUSTINA SUMARLIN,"MANYEUW, 03-06-1995",LAKI-LAKI,A,JL H SAMALI 39,012/004,NGAYUB,MANYEUW,KRISTEN,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,MALUKU TENGGARA,16-02-2012
PROVINSI P A P U A,KABUPATEN KEEROM,9111101212898890,INDA ARYANTI IMANTO,"KEEROM, 12-12-1989",LAKI-LAKI,B,JL ALAYDRUS 23,001/024,FAFENUMBU,YAFFI,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KEEROM,28-01-2014
PROVINSI JAWA TIMUR,KABUPATEN PACITAN,3501020612707507,DEWI NOVIANAWATI,"PACITAN, 06-12-1970",LAKI-LAKI,AB,JL LANGSAT I 3-PAV,009/012,PELEM,PRINGKUKU,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PACITAN,22-07-2010
PROVINSI ACEH,KABUPATEN BIREUEN,1111040605609680,SHARIQ MUKHTAR,"BIREUEN, 06-05-1960",PEREMPUAN,A,JL. CIPINANG KEBEMBEM RAWA MANGUN,007/030,PALOH PANYANG,JEUMPA,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BIREUEN,19-05-2011
PROVINSI KALIMANTAN SELATAN,KABUPATEN TABALONG,6309012212586858,BUDI SANTOSO TARUNO SEMBODO,"TABALONG, 22-12-1958",LAKI-LAKI,O,JL H NAMAN 20,002/017,BATANG BANYU,BANUA LAWAS,KRISTEN,KAWIN,PEWAGAI NEGERI SIPIL,WNI,SEUMUR HIDUP,TABALONG,11-07-2018
PROVINSI PAPUA BARAT,KABUPATEN SORONG SELATAN,9204011510871494,HENRY WARGANA,"TEMINABUAN, 15-10-1987",PEREMPUAN,-,JL KEMANG UTR GED BRESINDO BL A/3,005/029,NAMBRO,TEMINABUAN,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,SORONG SELATAN,24-04-2017
PROVINSI PAPUA BARAT,KABUPATEN PEGUNUNGAN ARFAK,9212072404899396,ADHI UTOMO,"PEGUNUNGAN ARFAK, 24-04-1989",PEREMPUAN,O,JL SEMPER KEBANTENAN RAYA KAV 59,017/023,KAUNGWAM,CATUBOUW,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,PEGUNUNGAN ARFAK,05-12-2019
PROVINSI JAWA BARAT,KABUPATEN KARAWANG,3215082004860930,H.I. MADE SADHA ARDIANA,"KARAWANG, 20-04-1986",PEREMPUAN,A,JL YRS I A/5,028/030,SEGARJAYA,BATUJAYA,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,KARAWANG,05-01-2014
PROVINSI JAWA TENGAH,KABUPATEN KEBUMEN,3305252912920083,HENNY HARTADY,"KEBUMEN, 29-12-1992",PEREMPUAN,A,KEBON JERUK,026/009,JEMBANGAN,PONCOWARNO,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,KEBUMEN,24-07-2014
PROVINSI ACEH,KABUPATEN BIREUEN,1111102804730647,DINO KOESHANDERY,"BIREUEN, 28-04-1973",LAKI-LAKI,B,JL CIPINANG CEMPEDAK,011/017,BARAT LANYAN,JANGKA,ISLAM,CERAI HIDUP,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BIREUEN,06-06-2019
PROVINSI JAMBI,KABUPATEN MERANGIN,1502052810941631,I NENGAH BAGIADA,"TABIR, 28-10-1994",LAKI-LAKI,B,JL PRAMUKA 54,030/001,KANDANG,TABIR,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,MERANGIN,18-06-2012
PROVINSI SUMATERA SELATAN,KABUPATEN EMPAT LAWANG,1611011805915131,ARIEF SANTOSO,"EMPAT LAWANG, 18-05-1991",PEREMPUAN,A,JL.CEMPAKA BARU VI NO.26 KELURAHAN CEMPAKA BARU,017/018,TANJUNG KURUNG,MUARA PINANG,KRISTEN,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,EMPAT LAWANG,30-06-2010
PROVINSI SUMATERA UTARA,KABUPATEN MANDAILING NATAL,1213191402019499,ANTHONY DOMINIC BYRON,"HUTA BARGOT, 14-02-2001",LAKI-LAKI,B,JL H SAMALI 39,013/028,HUTA BARGOT DOLOK,HUTA BARGOT,ISLAM,BELUM KAWIN,GURU,WNI,SEUMUR HIDUP,MANDAILING NATAL,21-04-2010
PROVINSI KALIMANTAN TENGAH,KABUPATEN PULANG PISAU,6211012001966337,RUDY NANGGULANGI,"PULANG PISAU, 20-01-1996",LAKI-LAKI,AB,JL MAWAR MERAH IV GG II,027/018,KARYA BERSAMA,PANDIH BATU,KRISTEN,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,PULANG PISAU,24-12-2016
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN MALAKA,5321122709715518,BETTY ANG,"BOTIN LEOBELE, 27-09-1971",LAKI-LAKI,A,JL GELONG BARU 35,013/027,BABOTIN MAEMINA,BOTIN LEOBELE,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,MALAKA,28-03-2016
PROVINSI KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN TIMUR,6202081204716587,ANDI PRAVIDIA SALIMAN,"KOTAWARINGIN TIMUR, 12-04-1971",LAKI-LAKI,B,JL PASAR KECAPI 31-58,009/026,HANDIL SOHOR,MENTAYA HILIR SELATAN,ISLAM,BELUM KAWIN,BURUH HARIAN LEPAS,WNI,SEUMUR HIDUP,KOTAWARINGIN TIMUR,19-06-2017
PROVINSI LAMPUNG,KABUPATEN WAY KANAN,1808061012848333,MICHAEL GAN,"PAKUAN RATU, 10-12-1984",LAKI-LAKI,AB,JL KETANG KETANG 3,020/010,BAKTI NEGARA,PAKUAN RATU,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,WAY KANAN,26-07-2017
PROVINSI SULAWESI SELATAN,KABUPATEN LUWU UTARA,7322071009777141,DEWI NILKA SARI,"LUWU UTARA, 10-09-1977",PEREMPUAN,O,JL SRENGSENG RAYA 41-B,019/015,TANAMAKALEANG,SEKO,HINDU,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,LUWU UTARA,04-11-2018
PROVINSI JAWA TIMUR,KABUPATEN GRESIK,3525040208902661,WIDHAYATI HENDROPURNOMO,"GRESIK, 02-08-1990",PEREMPUAN,O,JL CIPUTAT RAYA 326,017/018,DELIKSUMBER,BENJENG,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,GRESIK,12-10-2018
PROVINSI KEPULAUAN BANGKA BELITUNG,KABUPATEN BELITUNG TIMUR,1906020911910998,DJAN FARIDZ,"BELITUNG TIMUR, 09-11-1991",PEREMPUAN,O,JL H SOLEH 40,022/028,LIMBONGAN,GANTUNG,ISLAM,KAWIN,PEWAGAI NEGERI SIPIL,WNI,SEUMUR HIDUP,BELITUNG TIMUR,21-01-2015
PROVINSI KALIMANTAN SELATAN,KABUPATEN BARITO KUALA,6304020407003423,KUSUMA HADI SOETEMO,"BARITO KUALA, 04-07-2000",PEREMPUAN,B,JL TEBET DLM II H/5,030/005,JELAPAT BARU,TAMBAN,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BARITO KUALA,01-03-2015
PROVINSI BALI,KABUPATEN TABANAN,5102020307656090,OESMAN SAPTA,"TABANAN, 03-07-1965",PEREMPUAN,A,JL YRS I A/5,009/009,MEGATI,SALAMADEG TIMUR,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,TABANAN,09-10-2012
PROVINSI GORONTALO,KABUPATEN GORONTALO UTARA,7505110709742583,CAMERON ROBERT KNOX,"SUMALATA TIMUR, 07-09-1974",LAKI-LAKI,O,JL HEDAM I 37,017/016,DEME DUA,SUMALATA TIMUR,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,GORONTALO UTARA,30-08-2015
PROVINSI KALIMANTAN TIMUR,KABUPATEN KUTAI TIMUR,6408170402686717,TAUFAN,"BATU AMPAR, 04-02-1968",PEREMPUAN,A,KEBON JERUK,001/003,BATU TIMBAU ULU,BATU AMPAR,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,KUTAI TIMUR,04-04-2016
PROVINSI SUMATERA UTARA,KABUPATEN SIMALUNGUN,1208280106803828,DOREEN SIM,"TAPIAN DOLOK, 01-06-1980",PEREMPUAN,B,JL KAJI 22 E,028/016,PEMATANG DOLOK KAHEAN,TAPIAN DOLOK,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SIMALUNGUN,02-10-2018
PROVINSI JAWA BARAT,KABUPATEN KARAWANG,3215242709873339,HASAN KRISNO,"BANYUSARI, 27-09-1987",LAKI-LAKI,O,JL PROF SUPOMO SH KOMPL TRANSKOP 16,002/010,GEMPOL KOLOT,BANYUSARI,KRISTEN,CERAI MATI,PERDAGANGAN,WNI,SEUMUR HIDUP,KARAWANG,10-12-2018
PROVINSI JAWA TENGAH,KABUPATEN KUDUS,3319061409628199,MILANY TERIANTO LUWENA,"KUDUS, 14-09-1962",PEREMPUAN,AB,JL SUMUR BATU IV BL C/18,007/004,KLALING,JEKULO,ISLAM,CERAI MATI,KEPOLISISAN RI,WNI,SEUMUR HIDUP,KUDUS,20-06-2014
PROVINSI NUSA TENGGARA TIMUR,KOTA KUPANG,5371012411957183,JOVANKA MARDOVA,"KUPANG, 24-11-1995",LAKI-LAKI,O,JL YRS I A/5,025/013,MANULAI II,ALAK,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,KOTA KUPANG,26-01-2013
PROVINSI SULAWESI TENGAH,KABUPATEN POSO,7202270405901672,MOHAN N. MIRPURI,"PAMONA UTARA, 04-05-1990",LAKI-LAKI,A,JL PINTU AIR V 45,009/007,PETIRODONGI,PAMONA UTARA,ISLAM,CERAI HIDUP,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,POSO,02-05-2011
